symbol,size,price,timestamp
EMR,37,69.41,2019-10-21 10:25:41.640124584
MU,100,45.22,2019-10-21 15:53:19.511630576
WORK,100,22.535,2019-10-21 14:37:19.918496355
SBGI,100,42.55,2019-10-21 11:38:15.676366821
AGYS,400,26.61,2019-10-21 13:39:20.071217556
MGP,100,30.345,2019-10-21 12:27:23.449812439
RES,500,5.055,2019-10-21 11:53:28.869193983
DOW,41,47.98,2019-10-21 11:45:01.006031155
ADM,1,40.3,2019-10-21 09:55:57.427367626
VIPS,4,9.76,2019-10-21 15:59:27.983086662
ABT,100,81.99,2019-10-21 15:08:44.154129506
ITUB,10,8.215,2019-10-21 10:07:46.448563693
RIG,100,4.545,2019-10-21 10:03:18.603368152
PTEN,400,8.295,2019-10-21 15:57:04.088310447
MS,1,44.875,2019-10-21 12:29:45.089390360
PCG,20,8.08,2019-10-21 15:05:25.038193438
COP,100,55.89,2019-10-21 15:11:37.242474634
ABT,1,81.895,2019-10-21 15:18:59.323160006
AIG,5,54.6,2019-10-21 13:50:09.230841234
CHGG,100,32.69,2019-10-21 12:12:07.656867618
COP,100,55.935,2019-10-21 15:23:11.249170224
VALE,49,11.36,2019-10-21 15:57:45.946157150
IRBT,100,55.82,2019-10-21 15:27:00.655924433
WORK,100,22.5,2019-10-21 11:08:11.034798119
WGO,100,42.51,2019-10-21 12:57:08.395041507
LKQ,100,31.645,2019-10-21 15:55:56.417991871
JMIA,100,7.37,2019-10-21 14:02:00.318068227
MLM,28,268.85,2019-10-21 15:50:23.384098236
BNED,100,3.965,2019-10-21 15:59:10.638340500
MEI,5,34.415,2019-10-21 12:52:17.374381444
CHRW,100,87.36,2019-10-21 12:35:12.959170506
IWF,300,161.97,2019-10-21 12:33:26.830396164
PK,2,23.06,2019-10-21 09:42:27.260444678
BJ,1,25.28,2019-10-21 13:24:35.714087706
QURE,100,43.735,2019-10-21 13:03:37.699074913
PINS,900,26.605,2019-10-21 15:39:07.503901135
