pl_name,hostname,disc_year,radius,temperature,mass,ra,dec,habitable
Kepler-1081 b,Kepler-1081,2016,1.01,,,289.444752,41.3179652,FALSE
Kepler-1082 b,Kepler-1082,2016,1.12,,,289.3586737,50.5984489,FALSE
Kepler-1083 b,Kepler-1083,2016,3.36,,,283.1618831,45.198336,FALSE
Kepler-1084 b,Kepler-1084,2016,1.11,,,290.1019809,48.251146,FALSE
Kepler-1085 b,Kepler-1085,2016,7.22,,,287.4776359,46.1411685,FALSE
Kepler-1085 c,Kepler-1085,2020,3.268,,,287.4776359,46.1411685,FALSE
Kepler-1086 b,Kepler-1086,2016,2.44,,,295.251187,45.8429537,FALSE
Kepler-1086 c,Kepler-1086,2016,2.94,,,295.251187,45.8429537,FALSE
Kepler-1087 b,Kepler-1087,2016,0.61,,,294.9789253,46.0056741,FALSE
Kepler-1088 b,Kepler-1088,2016,1.42,,,281.5614578,42.4504087,FALSE
Kepler-1089 b,Kepler-1089,2016,1.83,,,291.0926509,49.1901729,FALSE
Kepler-109 b,Kepler-109,2014,2.37,,7.3,290.3926795,40.2849074,FALSE
Kepler-109 c,Kepler-109,2014,2.52,,21.8,290.3926795,40.2849074,FALSE
Kepler-1090 b,Kepler-1090,2016,2.25,,,295.6629002,44.5258237,TRUE
Kepler-1091 b,Kepler-1091,2016,1.46,,,299.7854426,43.6707235,FALSE
Kepler-1092 b,Kepler-1092,2016,2.07,,,297.7232008,47.1126833,FALSE
Kepler-1093 b,Kepler-1093,2016,1.95,,,284.9780251,41.4202077,FALSE
Kepler-1093 c,Kepler-1093,2016,1.96,,,284.9780251,41.4202077,FALSE
Kepler-1094 b,Kepler-1094,2016,3.18,,,292.3012109,38.2669983,FALSE
Kepler-1095 b,Kepler-1095,2016,1.21,,,293.2624215,41.3650155,FALSE
Kepler-1096 b,Kepler-1096,2016,1.24,,,294.7094688,45.9695533,FALSE
Kepler-1097 b,Kepler-1097,2016,3.26,,,281.5941261,42.5963949,FALSE
